job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1532,HR Manager,"US, CA, San Francisco",Marketing,,"We are an innovative tech company building next-generation cloud infrastructure and SaaS solutions for enterprise clients worldwide. Founded in 2015, we have raised $40M in Series B funding.","We are looking for a dedicated professional to join our dynamic team. You will collaborate with cross-functional teams to design, test, and deploy scalable solutions.","Bachelor's degree in Computer Science, Business, or related field. 3+ years of professional experience. Proficiency in Python, SQL, and Git. Strong problem-solving skills.","Base salary plus commission bonuses, paid parental leave, flexible working hours, and quarterly company retreats.",1,0,0,Contract,Mid-Senior level,Master's Degree,Information Technology,Engineering,0
2691,DevOps Engineer,"CA, ON, Toronto",Marketing,71000-131000,"We are an innovative tech company building next-generation cloud infrastructure and SaaS solutions for enterprise clients worldwide. Founded in 2015, we have raised $40M in Series B funding.","Responsibilities include analyzing business requirements, building robust data pipelines, presenting insights to key stakeholders, and maintaining high software quality standards.","Bachelor's degree in Computer Science, Business, or related field. 3+ years of professional experience. Proficiency in Python, SQL, and Git. Strong problem-solving skills.","Competitive salary + equity stock options. Health, dental, and vision insurance. 401(k) matching up to 5%. Unlimited PTO and annual learning stipend.",0,1,1,Full-time,Associate,Master's Degree,Information Technology,Engineering,0
4389,QA Engineer,"US, NY, New York",Finance,44000-138000,"Global digital marketing agency helping Fortune 500 brands scale performance marketing, SEO, and social media campaigns.","You will manage client portfolios, drive user acquisition campaigns, build strong customer relationships, and achieve monthly revenue metrics.","Degree in Finance or Economics, strong Excel financial modeling skills, experience with SQL and PowerBI/Tableau, and excellent analytical thinking.","Competitive salary + equity stock options. Health, dental, and vision insurance. 401(k) matching up to 5%. Unlimited PTO and annual learning stipend.",1,1,1,Full-time,Mid-Senior level,Master's Degree,Information Technology,Engineering,0
1368,Content Writer,"CA, ON, Toronto",Sales,84000-148000,"We are an innovative tech company building next-generation cloud infrastructure and SaaS solutions for enterprise clients worldwide. Founded in 2015, we have raised $40M in Series B funding.","Responsibilities include analyzing business requirements, building robust data pipelines, presenting insights to key stakeholders, and maintaining high software quality standards.","Bachelor's degree in Computer Science, Business, or related field. 3+ years of professional experience. Proficiency in Python, SQL, and Git. Strong problem-solving skills.","Health benefits package, remote work flexibility, home office setup allowance, professional development budget, and wellness reimbursement.",1,1,1,Full-time,Entry level,Master's Degree,Information Technology,Engineering,0
2484,DevOps Engineer,"US, NY, New York",Sales,40000-127000,"We are an innovative tech company building next-generation cloud infrastructure and SaaS solutions for enterprise clients worldwide. Founded in 2015, we have raised $40M in Series B funding.","You will manage client portfolios, drive user acquisition campaigns, build strong customer relationships, and achieve monthly revenue metrics.","Bachelor's degree in Computer Science, Business, or related field. 3+ years of professional experience. Proficiency in Python, SQL, and Git. Strong problem-solving skills.","Competitive salary + equity stock options. Health, dental, and vision insurance. 401(k) matching up to 5%. Unlimited PTO and annual learning stipend.",0,0,0,Full-time,Entry level,Master's Degree,Information Technology,Engineering,0
3770,Product Designer,"AU, NSW, Sydney",Operations,,A fast-growing e-commerce startup empowering independent merchants to scale their online presence seamlessly through AI-driven analytics.,"We are looking for a dedicated professional to join our dynamic team. You will collaborate with cross-functional teams to design, test, and deploy scalable solutions.","Degree in Finance or Economics, strong Excel financial modeling skills, experience with SQL and PowerBI/Tableau, and excellent analytical thinking.","Base salary plus commission bonuses, paid parental leave, flexible working hours, and quarterly company retreats.",1,1,1,Full-time,Mid-Senior level,Master's Degree,Information Technology,Engineering,0
4488,Account Executive,"DE, BE, Berlin",Operations,,"Global digital marketing agency helping Fortune 500 brands scale performance marketing, SEO, and social media campaigns.","Responsibilities include analyzing business requirements, building robust data pipelines, presenting insights to key stakeholders, and maintaining high software quality standards.","Bachelor's degree in Computer Science, Business, or related field. 3+ years of professional experience. Proficiency in Python, SQL, and Git. Strong problem-solving skills.","Base salary plus commission bonuses, paid parental leave, flexible working hours, and quarterly company retreats.",1,1,1,Contract,Entry level,Master's Degree,Information Technology,Engineering,0
1115,Customer Success Specialist,"IN, MH, Mumbai",Marketing,,"Global digital marketing agency helping Fortune 500 brands scale performance marketing, SEO, and social media campaigns.","Responsibilities include analyzing business requirements, building robust data pipelines, presenting insights to key stakeholders, and maintaining high software quality standards.","Strong communication skills, experience with CRM software (Salesforce/HubSpot), track record of meeting quotas, and ability to manage multiple client accounts simultaneously.","Competitive salary + equity stock options. Health, dental, and vision insurance. 401(k) matching up to 5%. Unlimited PTO and annual learning stipend.",0,0,1,Full-time,Entry level,Master's Degree,Information Technology,Engineering,0
4159,Sales Representative,"AU, NSW, Sydney",Customer Support,,"Established financial services firm providing comprehensive wealth management, corporate advisory, and investment banking services for over 30 years.","You will manage client portfolios, drive user acquisition campaigns, build strong customer relationships, and achieve monthly revenue metrics.","Degree in Finance or Economics, strong Excel financial modeling skills, experience with SQL and PowerBI/Tableau, and excellent analytical thinking.","Health benefits package, remote work flexibility, home office setup allowance, professional development budget, and wellness reimbursement.",1,1,1,Contract,Entry level,Bachelor's Degree,Information Technology,Engineering,0
4926,Account Executive,"US, CA, San Francisco",Product,,A fast-growing e-commerce startup empowering independent merchants to scale their online presence seamlessly through AI-driven analytics.,"Responsibilities include analyzing business requirements, building robust data pipelines, presenting insights to key stakeholders, and maintaining high software quality standards.","Strong communication skills, experience with CRM software (Salesforce/HubSpot), track record of meeting quotas, and ability to manage multiple client accounts simultaneously.","Competitive salary + equity stock options. Health, dental, and vision insurance. 401(k) matching up to 5%. Unlimited PTO and annual learning stipend.",0,1,1,Contract,Entry level,Bachelor's Degree,Information Technology,Engineering,0
